date,time,time_begin,time_end,Food_Item,Amount_Consumed,Units,Food_Item_Description,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-05-28,16:30:00,2020-05-28 16:30:00,16:32:00,Ice Cream Sandwich,4.23,fluid ounce,Ice Cream Sandwich,284.0,45.0,0.0,22.0,5.1,10.0
2020-05-28,18:57:00,2020-05-28 18:57:00,19:10:00,Lasagna (mostly vegetables),335.0,gram,Lasagna,524.0,30.0,3.4,9.8,38.0,28.0
2020-05-28,18:57:00,2020-05-28 18:57:00,19:08:00,Red Wine,0.25,cup,Red Wine,50.0,1.5,0.0,0.4,0.0,0.0
2020-05-28,19:02:00,2020-05-28 19:02:00,19:02:00,Cashew Nut,6.0,,Cashew Nut,54.0,3.1,0.3,0.5,1.4,4.4
2020-05-28,19:27:00,2020-05-28 19:27:00,19:28:00,Chocolate,10.0,gram,Chocolate,54.0,5.9,0.3,5.2,0.8,3.0
2020-05-28,20:49:00,2020-05-28 20:49:00,21:16:00,Herbal Tea,,,Herbal Tea,2.4,0.5,0.0,0.0,0.0,0.0
2020-05-28,20:49:00,2020-05-28 20:49:00,21:16:00,Honey,1.0,teaspoon,Honey,21.0,5.8,0.0,5.8,0.0,0.0
2020-05-29,00:19:00,2020-05-29 00:19:00,00:22:00,Pretzel Rod,3.0,,Pretzel Rod,115.0,24.0,1.0,0.7,3.0,0.9
2020-05-29,21:23:00,2020-05-29 21:23:00,21:28:00,Frosted Flake,,,Std Bfast,280.0,56.5,1.0,24.0,8.0,2.5
2020-05-29,21:38:00,2020-05-29 21:38:00,21:51:00,Decaf Latte,,,Latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-05-29,21:38:00,2020-05-29 21:38:00,21:51:00,Lactose Free Milk,7.0,ounce,Lactose Free Milk,409.0,11.0,0.0,0.0,7.4,4.1
2020-05-29,13:51:00,2020-05-29 13:51:00,13:52:00,Potato Chip,10.0,gram,Potato Chip,53.0,5.4,0.3,0.0,0.6,3.4
2020-05-29,14:00:00,2020-05-29 14:00:00,13:52:00,Chicken Noodle Soup,1.5,cup,Chicken Noodle Soup,93.0,11.0,0.7,1.0,4.7,3.5
2020-05-29,14:55:00,2020-05-29 14:55:00,14:55:00,(CaraCara) fresh orange juice,,,(Cara Cara) Pink Navel Oranges,140.0,42.0,14.0,28.0,2.0,0.0
2020-05-29,17:20:00,2020-05-29 17:20:00,17:40:00,Small Sweet Potato,75.0,gram,Small Sweet Potato,54.0,12.0,2.0,3.9,1.2,0.1
2020-05-29,17:20:00,2020-05-29 17:20:00,17:40:00,Turkey Leg,175.0,gram,Turkey Leg,345.0,0.0,0.0,0.0,49.0,16.0
2020-05-29,17:20:00,2020-05-29 17:20:00,17:40:00,Stuffing,90.0,gram,Stuffing,176.0,17.0,0.7,1.8,2.5,11.0
2020-05-29,17:20:00,2020-05-29 17:20:00,17:40:00,English Peas,100.0,gram,English Peas,84.0,16.0,5.5,5.9,5.4,0.2
2020-05-29,19:03:00,2020-05-29 19:03:00,17:40:00,Ice Cream Sandwich,4.23,fluid ounce,Ice Cream Sandwich,284.0,45.0,0.0,22.0,5.1,10.0
2020-05-29,20:38:00,2020-05-29 20:38:00,20:45:00,Pound Cake,60.0,gram,Pound Cake,212.0,32.0,0.4,20.0,3.0,8.4
2020-05-29,20:38:00,2020-05-29 20:38:00,20:45:00,Strawberry,,,Strawberry,2.9,0.7,0.2,0.4,0.1,0.0
2020-05-29,20:38:00,2020-05-29 20:38:00,20:45:00,Blueberry,,,Blueberry,85.0,21.0,3.6,15.0,1.1,0.5
2020-05-29,20:38:00,2020-05-29 20:38:00,20:45:00,Ice Cream,2.0,scoop,Ice Cream,273.0,31.0,0.9,28.0,4.6,15.0
2020-05-30,09:58:00,2020-05-30 09:58:00,10:07:00,Small Blueberry Pancake,4.0,,Small Blueberry Pancake,336.0,44.0,0.0,0.0,9.2,14.0
2020-05-30,09:58:00,2020-05-30 09:58:00,10:07:00,syrup,,,Syrup,220.0,58.0,0.0,35.0,0.0,0.1
2020-05-30,12:15:00,2020-05-30 12:15:00,12:30:00,Decaf Latte,,,Latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-05-30,12:15:00,2020-05-30 12:15:00,12:30:00,Lactose Free Milk,7.0,ounce,Lactose Free Milk,409.0,11.0,0.0,0.0,7.4,4.1
2020-05-30,15:30:00,2020-05-30 15:30:00,15:40:00,turkey leg,170.0,gram,Turkey Leg,335.0,0.0,0.0,0.0,48.0,16.0
2020-05-30,15:30:00,2020-05-30 15:30:00,15:40:00,potato chip,,,Potato Chip,53.0,5.4,0.3,0.0,0.6,3.4
2020-05-30,15:40:00,2020-05-30 15:40:00,15:40:00,come pear,,,Pear,101.0,27.0,5.5,17.0,0.6,0.3
2020-05-30,15:35:00,2020-05-30 15:35:00,15:40:00,cashew nut,,,Cashew Nut,54.0,3.1,0.3,0.5,1.4,4.4
2020-05-30,15:53:00,2020-05-30 15:53:00,15:40:00,Decaf Latte,,,Latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-05-30,15:53:00,2020-05-30 15:53:00,15:40:00,Lactose Free Milk,7.0,ounce,Lactose Free Milk,409.0,11.0,0.0,0.0,7.4,4.1
2020-05-30,17:47:00,2020-05-30 17:47:00,15:40:00,toffee,2.0,,Toffee,134.0,16.0,0.0,15.0,0.3,7.9
2020-05-30,19:40:00,2020-05-30 19:40:00,19:52:00,vegetable lasagna,340.0,gram,Vegetable Lasagna,392.0,24.0,3.2,5.1,24.0,22.0
2020-05-30,19:40:00,2020-05-30 19:40:00,19:52:00,green beans,0.25,cup,Green Bean,11.0,2.5,1.0,1.1,0.6,0.1
2020-05-30,20:08:00,2020-05-30 20:08:00,19:52:00,ice cream,1.0,cup,Ice Cream,273.0,31.0,0.9,28.0,4.6,15.0
2020-05-31,10:19:00,2020-05-31 10:19:00,10:22:00,Frosted Flake,,,Std Bfast,280.0,56.5,1.0,24.0,8.0,2.5
2020-05-31,10:30:00,2020-05-31 10:30:00,10:40:00,Decaf Latte,,,Latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-05-31,10:30:00,2020-05-31 10:30:00,10:40:00,Lactose Free Milk,7.0,ounce,Lactose Free Milk,409.0,11.0,0.0,0.0,7.4,4.1
2020-05-31,13:26:00,2020-05-31 13:26:00,13:30:00,low fat cottage cheese,0.5,cup,Low Fat Cottage Cheese,81.0,3.1,0.0,3.1,14.0,1.2
2020-05-31,13:26:00,2020-05-31 13:26:00,13:30:00,banana,,,Banana,105.0,27.0,3.1,14.0,1.3,0.4
2020-05-31,16:16:00,2020-05-31 16:16:00,16:18:00,low fat cottage cheese,0.25,cup,Low Fat Cottage Cheese,40.5,1.6,0.0,1.6,7.0,0.6
2020-05-31,16:21:00,2020-05-31 16:21:00,16:25:00,greek yogurt,5.3,ounce,Greek Yogurt,532.0,32.0,0.0,29.0,92.0,3.5
2020-05-31,17:28:00,2020-05-31 17:28:00,17:29:00,ice cream sandwich,,,Ice Cream Sandwich,284.0,45.0,0.0,22.0,5.1,10.0
2020-05-31,17:32:00,2020-05-31 17:32:00,17:21:00,rice,,,Rice,205.0,45.0,0.6,0.1,4.3,0.4
2020-05-31,17:32:00,2020-05-31 17:32:00,17:21:00,bean,,,Bean,225.0,40.0,11.0,0.6,15.0,0.9
2020-05-31,17:32:00,2020-05-31 17:32:00,17:21:00,duck burrito,,,duck burrito,434.0,56.0,8.9,5.1,17.0,16.0
2020-05-31,17:32:00,2020-05-31 17:32:00,17:21:00,salsa,,,Salsa,10.0,2.4,0.7,1.4,0.6,0.1
2020-05-31,17:32:00,2020-05-31 17:32:00,17:21:00,corn chips,,,Corn Chips,151.0,16.0,1.1,0.1,1.7,9.3
2020-06-01,11:00:00,2020-06-01 11:00:00,11:05:00,low fat cottage cheese,,,Low Fat Cottage Cheese,40.5,1.6,0.0,1.6,7.0,0.6
2020-06-01,11:00:00,2020-06-01 11:00:00,11:05:00,banana,,,Banana,105.0,27.0,3.1,14.0,1.3,0.4
2020-06-01,11:30:00,2020-06-01 11:30:00,11:35:00,skim decaf latte,,,Latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-06-01,13:19:00,2020-06-01 13:19:00,13:25:00,turkey leg,,,Turkey Leg,335.0,0.0,0.0,0.0,48.0,16.0
2020-06-01,13:30:00,2020-06-01 13:30:00,13:30:00,(CaraCara) fresh orange juice,2.0,oranges,(Cara Cara) Pink Navel Oranges,140.0,42.0,14.0,28.0,2.0,0.0
2020-06-01,17:30:00,2020-06-01 17:30:00,18:30:00,beer,1.0,,Beer,153.0,13.0,0.0,0.0,1.6,0.0
2020-06-01,17:30:00,2020-06-01 17:30:00,18:30:00,duck soup with dumpling,,,duck soup with dumpling,129.0,23.0,2.0,7.5,7.0,1.2
2020-06-01,19:00:00,2020-06-01 19:00:00,18:30:00,egg,0.5,,Egg,36.0,0.2,0.0,0.1,3.1,2.4
2020-06-01,19:00:00,2020-06-01 19:00:00,18:30:00,potato chip,5.0,,potato chip,447.0,45.0,2.6,0.3,5.4,28.5
2020-06-01,19:00:00,2020-06-01 19:00:00,19:05:00,ice cream,,,Ice Cream,273.0,31.0,0.9,28.0,4.6,15.0
2020-06-01,22:35:00,2020-06-01 22:35:00,22:36:00,ice cream sandwich,,,Ice Cream Sandwich,284.0,45.0,0.0,22.0,5.1,10.0
2020-06-02,09:00:00,2020-06-02 09:00:00,09:03:00,Frosted Flake,,,Std Bfast,280.0,56.5,1.0,24.0,8.0,2.5
2020-06-02,09:11:00,2020-06-02 09:11:00,09:16:00,Decaf Latte,,,Latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-06-02,12:59:00,2020-06-02 12:59:00,13:03:00,greek yogurt,5.3,ounce,Greek Yogurt,532.0,32.0,0.0,29.0,92.0,3.5
2020-06-02,13:09:00,2020-06-02 13:09:00,13:23:00,Arkansas black apple,,,Apple,100.0,25.0,4.4,19.0,0.5,0.3
2020-06-02,13:11:00,2020-06-02 13:11:00,13:16:00,ham and turkey sandwich,0.5,,Ham and Turkey Pesto Sandwich,550.0,39.0,3.3,7.0,32.0,30.0
2020-06-02,14:12:00,2020-06-02 14:12:00,14:15:00,cheese crackers,,,Cheese Crackers,303.0,37.0,1.4,2.8,6.8,14.0
2020-06-02,14:23:00,2020-06-02 14:23:00,14:35:00,decaf latte,,,Latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-06-02,18:13:00,2020-06-02 18:13:00,18:15:00,Mixed Nuts,9.0,,Mixed Nut,153.0,6.5,2.3,1.2,4.4,13.0
2020-06-02,19:00:00,2020-06-02 19:00:00,19:17:00,pasta salad with vegetables,,,Pasta Salad,407.0,35.0,3.1,3.0,12.0,24.0
2020-06-02,19:00:00,2020-06-02 19:00:00,19:17:00,salad dressing,,,Salad Dressing,129.0,1.8,0.0,1.4,0.4,13.0
2020-06-02,19:00:00,2020-06-02 19:00:00,19:17:00,egg,1.0,,Egg,72.0,0.4,0.0,0.2,6.3,4.8
2020-06-02,19:24:00,2020-06-02 19:24:00,19:26:00,toffee,2.0,,Toffee,134.0,16.0,0.0,15.0,0.3,7.9
2020-06-02,21:16:00,2020-06-02 21:16:00,21:20:00,ice cream,1.0,cup,Ice Cream,273.0,31.0,0.9,28.0,4.6,15.0
2020-06-02,21:25:00,2020-06-02 21:25:00,21:29:00,cookie,6.0,,Cookie,886.0,118.0,3.6,59.0,9.2,44.0
2020-06-03,11:59:00,2020-06-03 11:59:00,12:07:00,oatmeal,0.75,cup,Oatmeal,125.0,21.0,3.0,0.5,4.5,2.7
2020-06-03,11:59:00,2020-06-03 11:59:00,12:07:00,maple syrup,1.5,teaspoon,Maple Syrup,26.0,6.7,0.0,6.0,0.0,0.0
2020-06-03,12:08:00,2020-06-03 12:08:00,12:10:00,tea with milk,,,Tea with Milk,62.0,5.2,0.0,5.0,3.1,3.2
2020-06-03,12:08:00,2020-06-03 12:08:00,12:10:00,Honey,1.0,teaspoon,Honey,21.0,5.8,0.0,5.8,0.0,0.0
2020-06-03,14:30:00,2020-06-03 14:30:00,14:35:00,turkey and brie sandwich,0.5,,Turkey and Brie Sandwich,287.0,20.5,2.4,5.0,16.0,15.5
2020-06-03,14:38:00,2020-06-03 14:38:00,14:38:00,Mixed Nuts,5.0,,Mixed Nut,85.0,3.6,1.3,0.7,2.4,7.2
2020-06-03,14:45:00,2020-06-03 14:45:00,14:46:00,decaf latte,,,Latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-06-03,18:19:00,2020-06-03 18:19:00,18:23:00,soda,,,Soda,155.0,38.0,0.0,37.0,0.0,0.0
2020-06-03,19:45:00,2020-06-03 19:45:00,20:05:00,lamb,,,Lamb,250.0,0.0,0.0,0.0,21.0,18.0
2020-06-03,19:45:00,2020-06-03 19:45:00,20:05:00,small sweet potato,1.0,,Small Sweet Potato,54.0,12.0,2.0,3.9,1.2,0.1
2020-06-03,19:45:00,2020-06-03 19:45:00,20:05:00,beet,1.0,,Beet,22.0,5.0,1.0,4.0,0.8,0.1
2020-06-03,20:20:00,2020-06-03 20:20:00,20:37:00,tea,,,Tea,2.4,0.7,0.0,0.0,0.0,0.0
2020-06-03,20:20:00,2020-06-03 20:20:00,20:37:00,Honey,1.0,teaspoon,Honey,21.0,5.8,0.0,5.8,0.0,0.0
2020-06-03,20:40:00,2020-06-03 20:40:00,20:45:00,cookie,8.0,,Cookie,1181.3,157.3,4.8,78.7,12.3,58.7
2020-06-04,09:30:00,2020-06-04 09:30:00,,Boost,,,,654.0,82.0,5.6,40.0,26.0,26.0
