date,time,time_begin,time_end,logged_food,amount,unit,searched_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-07-20,06:30:00,2020-07-20 06:30:00,,Salmon cakes,2,,,736,58.0,4.6,3.8,32.0,42.0
2020-07-20,06:30:00,2020-07-20 06:30:00,,Large coffee with heavy cream,,,,84,2.6,0.0,2.6,2.4,7.0
2020-07-20,08:30:00,2020-07-20 08:30:00,,Standard breakfast,,,,280,56.5,1.0,24.0,8.0,2.5
2020-07-20,13:15:00,2020-07-20 13:15:00,,Ham and cheese sandwhich,,,,517,28.0,2.3,3.6,28.0,32.0
2020-07-20,13:15:00,2020-07-20 13:15:00,,Brownies,2 small,,,466,50.0,,28.0,6.2,30.0
2020-07-20,13:15:00,2020-07-20 13:15:00,,Peanut Butter,1,Tbsp,,94,3.9,0.9,1.1,3.5,8.0
2020-07-20,16:30:00,2020-07-20 16:30:00,,Two slices of bread,2,slices,,154,28.0,1.6,3.2,5.2,1.9
2020-07-20,16:30:00,2020-07-20 16:30:00,,Butter,2,Tbsp,,204,0.0,0.0,0.0,0.2,24.0
2020-07-20,19:30:00,2020-07-20 19:30:00,,"Chipotle burrito bowl chicken and steak, black beans, cheese, lettuce, salsa, sour cream",,,,1008,117.0,14.0,5.6,49.0,38.0
2020-07-20,19:30:00,2020-07-20 19:30:00,,2 Yuengling beers,2,12oz bears,,312,26.4,0.0,0.0,3.4,0.0
2020-07-21,08:00:00,2020-07-21 08:00:00,,2 cups coffee w/ heavy cream,2, cups,,168,5.0,0.0,5.0,5.0,14.0
2020-07-21,12:45:00,2020-07-21 12:45:00,,Elmo's diner breakfast burrito 2 eggs/sausage/black beans/sour cream,,,,657,72.0,2.7,1.4,29.0,28.0
2020-07-21,12:45:00,2020-07-21 12:45:00,,Side of home fried potatoes,,,,235,45.0,,0.0,6.9,3.8
2020-07-21,12:45:00,2020-07-21 12:45:00,,1 cup coffee,,,,84,2.6,0.0,2.6,2.4,7.0
2020-07-22,08:00:00,2020-07-22 08:00:00,,Standard breakfast,,,,280,56.5,1.0,24.0,8.0,2.5
2020-07-22,10:00:00,2020-07-22 10:00:00,,brown rice,1,cup,,218,46.0,3.6,0.0,4.6,2.6
2020-07-22,10:00:00,2020-07-22 10:00:00,,sardines ,1,can,,25,0.0,0.0,0.0,3.0,1.4
2020-07-22,10:00:00,2020-07-22 10:00:00,,kimchi,1,cup,,23,3.6,2.4,1.6,1.7,0.8
2020-07-22,11:00:00,2020-07-22 11:00:00,,french bread,2,slices,,348,66.0,2.8,6.0,13.8,3.0
2020-07-22,11:00:00,2020-07-22 11:00:00,,Swiss cheese,4,slices,,424,1.6,0.0,0.0,29.0,33.0
2020-07-22,11:00:00,2020-07-22 11:00:00,,Salami,4,slices,,148,0.3,0.0,0.1,8.4,12.4
2020-07-22,18:00:00,2020-07-22 18:00:00,,Chicken soup,,,,168,24.0,4.6,5.2,10.0,3.7
2020-07-22,18:00:00,2020-07-22 18:00:00,,"Crostinis (slice of French bread, swiss, tomato)",3,,,522,99.0,4.2,9.0,20.7,4.5
2020-07-23,08:00:00,2020-07-23 08:00:00,,Chicken soup,,,,168,24.0,4.6,5.2,10.0,3.7
2020-07-23,19:30:00,2020-07-23 19:30:00,,"Chicken enchiladas with black beans, spanish rice, salsa",,,,536,60.0,4.4,4.8,28.0,19.8
2020-07-23,19:30:00,2020-07-23 19:30:00,,Beer,1,pint,,204,17.0,0.0,0.0,2.2,0.0
2020-07-24,06:30:00,2020-07-24 06:30:00,,Standard breakfast,,,,280,56.5,1.0,24.0,8.0,2.5
2020-07-24,08:00:00,2020-07-24 08:00:00,,1 bagel with cream cheese,,,,379,57.0,1.7,9.9,13.0,11.0
2020-07-24,08:00:00,2020-07-24 08:00:00,,1 coffee with cream,,,,84,2.6,0.0,2.6,2.4,7.0
2020-07-24,12:00:00,2020-07-24 12:00:00,,1 ensure plus,,,,355,50.0,0.0,21.0,13.0,11.0
2020-07-24,17:00:00,2020-07-24 17:00:00,,"12"" Italian BMT Subway whole wheat mayo",,,,1064,60.0,6.2,8.0,50.0,70.0
2020-07-24,20:00:00,2020-07-24 20:00:00,,Bojangles chicken thigh,3,piece,,714,23.4,0.8,0.0,57.0,42.0
2020-07-24,20:00:00,2020-07-24 20:00:00,,Sweat tea ice,32,fluid oz,,320,84.0,0.0,80.0,0.0,0.0
2020-07-25,09:30:00,2020-07-25 09:30:00,,Chicken soup,,,,168,24.0,4.6,5.2,10.0,3.7
2020-07-25,10:15:00,2020-07-25 10:15:00,,Banana,,,,105,27.0,3.1,14.0,1.3,0.4
2020-07-25,10:15:00,2020-07-25 10:15:00,,Peanut Butter,1,Tbsp,,94,3.9,0.9,1.1,3.5,8.0
2020-07-25,18:30:00,2020-07-25 18:30:00,,Plain cheese pizza,4,slices,,1808,228.0,15.6,24.4,76.0,64.0
2020-07-25,18:30:00,2020-07-25 18:30:00,,Anchovies,2,oz,,25,0.0,0.0,0.0,3.6,1.2
2020-07-25,18:30:00,2020-07-25 18:30:00,,Salad,1,cup,,7,1.4,0.6,0.6,0.4,0.1
2020-07-25,18:30:00,2020-07-25 18:30:00,,Blue Cheese dressing,2,Tbsp,,146,1.4,0.1,1.0,0.4,15.4
2020-07-25,18:30:00,2020-07-25 18:30:00,,Lemonade,32,oz,,99,26.0,0.0,25.0,0.2,0.1
2020-07-26,10:30:00,2020-07-26 10:30:00,,Standard breakfast,,,,280,56.5,1.0,24.0,8.0,2.5
2020-07-26,11:30:00,2020-07-26 11:30:00,,Plain cheese pizza,1,slices,,452,57.0,3.9,6.1,19.0,16.0
2020-07-26,11:30:00,2020-07-26 11:30:00,,cooked black eyed peas,1,cup,,198,35.0,11.0,5.6,13.0,0.9
2020-07-27,08:00:00,2020-07-27 08:00:00,,Boost,,,,654,82.0,5.6,40.0,26.0,26.0
